--- Relaxation Summary for Main Iteration 4, GA Generation 2 ---
Analysis Date: 2025-08-31 16:12:06

--- GA Mutation Tracking Summary ---
Total Individuals: 50
Mode Replacements: 15
Replacement Rate: 30.00%
Selected Modes for Replacement:
  1. G (freq: 15.5419, band: 11)
  2. M (freq: 3.8015, band: 0)
  3. A (freq: 3.1622, band: 0)
  4. M (freq: 18.0815, band: 11)
  5. M (freq: 3.8015, band: 0)
  ... and 10 more

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Main Iter  GA Gen   Sample   GA Params                                                        
------------ --------------- ------------------ ------------------------- ---------- -------- -------- -----------------------------------------------------------------
8            P6_3mc          hexagonal          -4.826398                 4          2        40       D1:1.000, R21:0.000, Cell:(0.070, 0.070, -0.070, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
8            R3m             trigonal           -4.820517                 4          2        28       D1:1.000, R21:0.000, Cell:(0.070, 0.070, -0.070, 0.000, 29.037, 0.000), SC:1x1x2, PhFactor:True
32           R3m             trigonal           -4.820517                 4          2        3        D1:7.035, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:2x2x2, PhFactor:True
8            R3m             trigonal           -4.820517                 4          2        12       D1:6.365, R21:-1.456, Cell:(0.070, -0.178, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
16           Fm-3m           cubic              -4.820459                 4          2        47       D1:1.000, R21:-0.522, Cell:(-0.013, 0.296, -0.244, 37.543, -9.048, 4.668), SC:2x2x1, PhFactor:True
8            Fm-3m           cubic              -4.820459                 4          2        22       D1:1.000, R21:-0.565, Cell:(-0.070, 0.070, 0.070, -34.864, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            Fm-3m           cubic              -4.820458                 4          2        13       D1:1.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, -37.928, 0.000, 0.000), SC:1x1x2, PhFactor:True
32           Fm-3m           cubic              -4.820458                 4          2        27       D1:1.000, R21:-0.983, Cell:(0.007, -0.357, -0.244, 4.315, -9.048, 4.668), SC:2x2x2, PhFactor:True
16           Fm-3m           cubic              -4.820458                 4          2        5        D1:1.000, R21:0.713, Cell:(0.358, 0.000, 0.000, -28.327, 0.000, 0.000), SC:2x1x2, PhFactor:True
8            Fm-3m           cubic              -4.820458                 4          2        11       D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 22.567, 0.000, -33.108), SC:1x1x2, PhFactor:True
8            F-43m           cubic              -4.815802                 4          2        20       D1:5.596, R21:-0.594, Cell:(0.139, 0.047, 0.444, 43.858, 0.000, -34.789), SC:1x1x2, PhFactor:False
32           F-43m           cubic              -4.815802                 4          2        45       D1:2.955, R21:0.596, Cell:(0.437, -0.017, 0.444, -11.080, 0.000, 0.000), SC:2x2x2, PhFactor:False
8            F-43m           cubic              -4.815802                 4          2        21       D1:1.915, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 28.088, -21.528), SC:1x1x2, PhFactor:False
4            F-43m           cubic              -4.815801                 4          2        32       D1:4.000, R21:1.066, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
16           F-43m           cubic              -4.815801                 4          2        46       D1:3.770, R21:-0.983, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
8            C2/m            monoclinic         -4.782315                 4          2        19       D1:0.250, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, -41.913, 0.000), SC:1x1x2, PhFactor:True
32           Pc              monoclinic         -4.781285                 4          2        34       D1:0.338, R21:-0.594, Cell:(0.008, 0.047, -0.244, 4.315, 36.466, 4.668), SC:2x2x2, PhFactor:True
