--- Relaxation Summary for Main Iteration 5, GA Generation 2 ---
Analysis Date: 2025-08-26 17:34:42

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Main Iter  GA Gen   Sample   GA Params                                                        
------------ --------------- ------------------ ------------------------- ---------- -------- -------- -----------------------------------------------------------------
24           P2_1/c          monoclinic         -10.165868                5          2        19       D1:4.000, R21:0.000, Cell:(0.000, 0.000, -0.284, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          2        8        D1:7.469, R21:0.250, Cell:(0.396, 0.000, -0.082, -9.039, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          2        33       D1:0.250, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:False
24           P2_1/c          monoclinic         -10.165868                5          2        29       D1:4.000, R21:0.250, Cell:(0.463, 0.469, 0.000, -4.427, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          2        2        D1:0.250, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:False
24           P2_1/c          monoclinic         -10.165868                5          2        49       D1:2.571, R21:0.250, Cell:(0.000, 0.000, 0.196, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
96           P2_1/c          monoclinic         -10.165868                5          2        25       D1:0.250, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x2x2, PhFactor:False
24           P2_1/c          monoclinic         -10.165868                5          2        14       D1:0.250, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:False
12           P2_1/c          monoclinic         -10.165868                5          2        39       D1:0.250, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.057, 0.000), SC:1x1x1, PhFactor:False
24           P2_1/c          monoclinic         -10.165868                5          2        30       D1:0.250, R21:0.250, Cell:(0.024, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          2        45       D1:3.575, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:False
24           P2_1/c          monoclinic         -10.165868                5          2        37       D1:4.000, R21:-0.250, Cell:(0.070, 0.000, 0.000, 0.000, 0.000, -8.480), SC:2x1x1, PhFactor:True
24           P2_1/c          monoclinic         -10.165868                5          2        13       D1:1.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:False
24           I4_1/amd        tetragonal         -10.160075                5          2        11       D1:1.000, R21:-0.250, Cell:(0.000, 0.217, 0.164, -41.098, 0.000, 0.000), SC:2x1x1, PhFactor:True
24           Pbcn            orthorhombic       -10.155919                5          2        48       D1:1.000, R21:0.250, Cell:(0.000, -0.291, 0.000, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:False
24           Pbcn            orthorhombic       -10.155919                5          2        18       D1:0.250, R21:0.250, Cell:(0.000, 0.000, 0.350, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
96           P4_2/mnm        tetragonal         -10.148524                5          2        9        D1:0.250, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, -41.407, 0.000), SC:2x2x2, PhFactor:True
24           Cc              monoclinic         -10.113646                5          2        50       D1:4.000, R21:0.934, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, -21.224), SC:2x1x1, PhFactor:True
24           Pnma            orthorhombic       -10.038450                5          2        3        D1:0.250, R21:0.000, Cell:(-0.384, 0.000, 0.127, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:True
