--- Relaxation Summary for Main Iteration 1, GA Generation 3 ---
Analysis Date: 2025-08-31 15:32:16

--- GA Mutation Tracking Summary ---
Total Individuals: 50
Mode Replacements: 0
Replacement Rate: 0.00%
No modes were selected for replacement in this generation.

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Main Iter  GA Gen   Sample   GA Params                                                        
------------ --------------- ------------------ ------------------------- ---------- -------- -------- -----------------------------------------------------------------
4            P6_3mc          hexagonal          -4.826398                 1          3        11       D1:5.434, R21:0.781, Cell:(0.204, -0.181, -0.234, 29.081, 7.932, 0.000), SC:2x1x1, PhFactor:True
8            P6_3/mmc        hexagonal          -4.821212                 1          3        7        D1:0.250, R21:-0.250, Cell:(0.439, -0.390, 0.073, 29.081, 9.899, 20.904), SC:2x2x1, PhFactor:True
16           Fm-3m           cubic              -4.820459                 1          3        33       D1:4.110, R21:0.354, Cell:(0.070, -0.327, 0.070, 0.000, 7.932, 4.895), SC:2x2x2, PhFactor:True
16           Fm-3m           cubic              -4.820459                 1          3        47       D1:2.457, R21:0.354, Cell:(0.173, -0.180, -0.307, 23.408, 23.794, -30.978), SC:2x2x2, PhFactor:True
16           Fm-3m           cubic              -4.820459                 1          3        10       D1:0.250, R21:0.192, Cell:(0.070, 0.070, 0.070, 0.000, 9.899, -2.459), SC:2x2x2, PhFactor:False
8            Fm-3m           cubic              -4.820459                 1          3        16       D1:1.000, R21:0.000, Cell:(-0.145, 0.070, 0.070, 0.000, 7.932, 0.000), SC:2x2x1, PhFactor:True
16           Fm-3m           cubic              -4.820459                 1          3        22       D1:2.064, R21:1.231, Cell:(0.070, 0.070, 0.070, 0.000, -37.384, 11.125), SC:2x2x2, PhFactor:False
16           Fm-3m           cubic              -4.820459                 1          3        29       D1:0.250, R21:-0.250, Cell:(0.070, 0.327, 0.167, 15.618, 0.000, 35.165), SC:2x2x2, PhFactor:True
8            Fm-3m           cubic              -4.820459                 1          3        44       D1:0.250, R21:0.354, Cell:(0.173, 0.365, -0.307, 5.223, -32.068, -30.978), SC:2x2x1, PhFactor:True
8            Fm-3m           cubic              -4.820459                 1          3        43       D1:0.250, R21:-0.250, Cell:(0.070, 0.070, 0.070, 6.633, -1.327, 27.623), SC:2x2x1, PhFactor:True
8            Fm-3m           cubic              -4.820459                 1          3        30       D1:0.250, R21:1.179, Cell:(-0.429, 0.070, 0.070, 0.000, 7.932, -31.277), SC:2x2x1, PhFactor:True
4            Fm-3m           cubic              -4.820459                 1          3        3        D1:0.250, R21:-0.250, Cell:(-0.466, 0.070, 0.174, 29.081, 9.899, -2.459), SC:1x1x2, PhFactor:True
4            Fm-3m           cubic              -4.820459                 1          3        36       D1:0.250, R21:-0.250, Cell:(0.070, -0.300, 0.070, 0.000, 7.932, 38.913), SC:1x1x2, PhFactor:True
8            Fm-3m           cubic              -4.820459                 1          3        28       D1:0.250, R21:1.179, Cell:(-0.429, 0.070, 0.070, 0.000, 7.932, 0.000), SC:2x2x1, PhFactor:True
16           Fm-3m           cubic              -4.820459                 1          3        45       D1:4.110, R21:-0.250, Cell:(0.070, -0.230, 0.070, 0.000, 7.932, 0.000), SC:2x2x2, PhFactor:True
8            Fm-3m           cubic              -4.820459                 1          3        15       D1:4.851, R21:0.000, Cell:(-0.387, 0.000, 0.000, 0.000, 9.899, 20.904), SC:2x1x2, PhFactor:False
8            Fm-3m           cubic              -4.820459                 1          3        31       D1:0.250, R21:-0.250, Cell:(0.413, 0.000, 0.000, -33.735, 0.000, 0.000), SC:2x2x1, PhFactor:True
8            Fm-3m           cubic              -4.820458                 1          3        17       D1:0.250, R21:-0.295, Cell:(0.070, 0.000, 0.000, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
2            F-43m           cubic              -4.815802                 1          3        20       D1:0.250, R21:1.179, Cell:(-0.429, 0.000, 0.000, 29.081, 9.899, -43.855), SC:1x1x1, PhFactor:True
4            F-43m           cubic              -4.815802                 1          3        34       D1:8.713, R21:0.071, Cell:(0.081, -0.050, 0.020, 38.823, 9.899, -2.459), SC:2x1x1, PhFactor:False
4            F-43m           cubic              -4.815802                 1          3        27       D1:6.248, R21:-1.462, Cell:(0.132, -0.050, 0.134, 38.823, 7.421, 0.000), SC:2x1x1, PhFactor:True
2            F-43m           cubic              -4.815802                 1          3        14       D1:0.250, R21:-0.994, Cell:(0.000, -0.357, 0.073, 13.920, -38.784, -9.565), SC:1x1x1, PhFactor:True
8            F-43m           cubic              -4.815802                 1          3        9        D1:0.250, R21:1.179, Cell:(-0.429, -0.050, 0.020, 38.823, 7.421, -5.422), SC:2x2x1, PhFactor:False
8            F-43m           cubic              -4.815802                 1          3        13       D1:7.547, R21:-1.247, Cell:(0.377, -0.129, 0.309, -1.968, -29.210, 22.776), SC:2x1x2, PhFactor:False
8            F-43m           cubic              -4.815802                 1          3        40       D1:0.250, R21:-0.916, Cell:(0.093, 0.459, -0.307, 23.408, 6.912, -30.978), SC:2x2x1, PhFactor:False
8            F-43m           cubic              -4.815802                 1          3        18       D1:0.250, R21:0.684, Cell:(0.000, 0.000, 0.000, 0.000, 26.903, 18.987), SC:2x2x1, PhFactor:False
8            F-43m           cubic              -4.815802                 1          3        5        D1:8.713, R21:0.071, Cell:(0.081, 0.316, 0.073, 29.081, 9.899, -2.459), SC:2x2x1, PhFactor:False
4            Cmc2_1          orthorhombic       -4.777282                 1          3        4        D1:7.377, R21:0.804, Cell:(0.204, -0.050, 0.020, 38.823, 7.421, 0.000), SC:2x1x1, PhFactor:True
4            Cmmm            orthorhombic       -4.699697                 1          3        21       D1:6.248, R21:-1.378, Cell:(0.137, -0.390, 0.073, -33.735, 0.000, 0.000), SC:2x1x1, PhFactor:True
4            Cmmm            orthorhombic       -4.699697                 1          3        2        D1:6.248, R21:-1.378, Cell:(0.204, -0.335, 0.070, 0.000, 7.932, 0.000), SC:2x1x1, PhFactor:True
8            P-6m2           hexagonal          -4.697248                 1          3        8        D1:8.713, R21:0.558, Cell:(0.081, 0.000, 0.000, -33.735, 0.000, 0.000), SC:2x2x1, PhFactor:False
8            P-6m2           hexagonal          -4.697248                 1          3        6        D1:0.250, R21:0.000, Cell:(0.070, -0.356, 0.070, 0.000, 7.932, 0.000), SC:2x2x1, PhFactor:False
4            P-6m2           hexagonal          -4.697248                 1          3        24       D1:6.248, R21:-1.378, Cell:(0.204, -0.390, -0.217, 0.000, 7.932, 0.000), SC:2x1x1, PhFactor:True
