--- Relaxation Summary for Main Iteration 5, GA Generation 2 ---
Analysis Date: 2025-08-31 16:24:42

--- GA Mutation Tracking Summary ---
Total Individuals: 50
Mode Replacements: 7
Replacement Rate: 14.00%
Selected Modes for Replacement:
  1. A (freq: 3.1622, band: 0)
  2. L (freq: 3.3470, band: 0)
  3. M (freq: 18.0816, band: 11)
  4. K (freq: 6.5360, band: 0)
  5. L (freq: 3.3470, band: 0)
  ... and 2 more

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Main Iter  GA Gen   Sample   GA Params                                                        
------------ --------------- ------------------ ------------------------- ---------- -------- -------- -----------------------------------------------------------------
8            P6_3mc          hexagonal          -4.826398                 5          2        1        D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            Fm-3m           cubic              -4.820459                 5          2        22       D1:1.000, R21:0.900, Cell:(-0.070, -0.035, -0.070, 0.000, 0.000, -38.545), SC:2x1x1, PhFactor:True
8            Fm-3m           cubic              -4.820459                 5          2        17       D1:1.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 27.560, 0.000, 0.000), SC:2x1x1, PhFactor:True
8            Fm-3m           cubic              -4.820459                 5          2        39       D1:7.622, R21:-0.250, Cell:(0.070, -0.220, -0.163, 7.124, -28.944, 18.491), SC:1x1x2, PhFactor:False
16           Fm-3m           cubic              -4.820459                 5          2        36       D1:1.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, -19.600, 41.291, -42.831), SC:2x2x1, PhFactor:True
8            Fm-3m           cubic              -4.820459                 5          2        32       D1:3.281, R21:0.000, Cell:(-0.070, -0.070, 0.070, 0.000, 28.737, 0.000), SC:1x1x2, PhFactor:False
8            Fm-3m           cubic              -4.820459                 5          2        25       D1:3.778, R21:0.541, Cell:(0.104, -0.015, 0.240, 35.904, -43.446, 22.151), SC:1x1x2, PhFactor:False
8            Fm-3m           cubic              -4.820459                 5          2        42       D1:2.940, R21:1.023, Cell:(-0.162, 0.315, -0.452, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            Fm-3m           cubic              -4.820459                 5          2        2        D1:1.000, R21:1.284, Cell:(-0.070, -0.070, -0.070, 31.344, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            Fm-3m           cubic              -4.820458                 5          2        12       D1:1.000, R21:-0.250, Cell:(-0.070, -0.070, 0.070, -41.273, 0.000, -5.151), SC:1x1x2, PhFactor:False
4            Fm-3m           cubic              -4.820458                 5          2        8        D1:1.000, R21:0.000, Cell:(-0.162, 0.070, -0.284, 0.000, -25.821, -42.055), SC:1x1x1, PhFactor:False
16           Fm-3m           cubic              -4.820458                 5          2        33       D1:0.250, R21:0.669, Cell:(0.070, 0.070, -0.070, 0.000, 0.000, -44.315), SC:2x2x1, PhFactor:True
8            Fm-3m           cubic              -4.820458                 5          2        9        D1:1.875, R21:0.452, Cell:(0.104, -0.015, 0.240, 39.111, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            F-43m           cubic              -4.815802                 5          2        4        D1:1.000, R21:-0.250, Cell:(0.000, 0.070, 0.070, 38.696, 0.000, 0.000), SC:1x1x2, PhFactor:True
4            F-43m           cubic              -4.815802                 5          2        24       D1:1.875, R21:0.452, Cell:(-0.469, -0.220, 0.354, 7.124, -28.944, -34.290), SC:1x1x1, PhFactor:False
