--- Relaxation Summary for Iteration 3 (Traditional) ---
Analysis Date: 2025-07-06 17:42:26

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Iter   Sample   Params                                            
------------ --------------- ------------------ ------------------------- ------ -------- --------------------------------------------------
2            Fm-3m           cubic              -4.820459                 3      19       D1:10.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      88       D1:31.623, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      120      D1:56.234, R21:-1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      122      D1:56.234, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      123      D1:56.234, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      124      D1:56.234, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      126      D1:56.234, R21:1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      157      D1:100.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      159      D1:100.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      17       D1:10.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      52       D1:17.783, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      54       D1:17.783, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      55       D1:17.783, R21:0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      85       D1:31.623, R21:-1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      86       D1:31.623, R21:-0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      87       D1:31.623, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      91       D1:31.623, R21:1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      125      D1:56.234, R21:0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      155      D1:100.000, R21:-1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      156      D1:100.000, R21:-0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      160      D1:100.000, R21:0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      18       D1:10.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      58       D1:17.783, R21:-0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      59       D1:17.783, R21:-0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      92       D1:31.623, R21:-1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      128      D1:56.234, R21:-0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      22       D1:10.000, R21:-1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      23       D1:10.000, R21:-0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      25       D1:10.000, R21:0.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      26       D1:10.000, R21:0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      27       D1:10.000, R21:0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      60       D1:17.783, R21:0.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      62       D1:17.783, R21:0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      96       D1:31.623, R21:0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      127      D1:56.234, R21:-1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      130      D1:56.234, R21:0.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      132      D1:56.234, R21:0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      163      D1:100.000, R21:-0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      167      D1:100.000, R21:0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      168      D1:100.000, R21:1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      28       D1:10.000, R21:1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      94       D1:31.623, R21:-0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      95       D1:31.623, R21:0.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      97       D1:31.623, R21:0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      98       D1:31.623, R21:1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      129      D1:56.234, R21:-0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      131      D1:56.234, R21:0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      133      D1:56.234, R21:1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      164      D1:100.000, R21:-0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      166      D1:100.000, R21:0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      24       D1:10.000, R21:-0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      61       D1:17.783, R21:0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      63       D1:17.783, R21:1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      93       D1:31.623, R21:-0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      57       D1:17.783, R21:-1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      162      D1:100.000, R21:-1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      165      D1:100.000, R21:0.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      29       D1:10.000, R21:-1.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      32       D1:10.000, R21:0.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      105      D1:31.623, R21:1.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      34       D1:10.000, R21:0.500, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      69       D1:17.783, R21:0.500, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      99       D1:31.623, R21:-1.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      101      D1:31.623, R21:-0.250, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      103      D1:31.623, R21:0.250, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      137      D1:56.234, R21:0.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      138      D1:56.234, R21:0.250, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      171      D1:100.000, R21:-0.250, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      172      D1:100.000, R21:0.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      173      D1:100.000, R21:0.250, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      175      D1:100.000, R21:1.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      30       D1:10.000, R21:-0.500, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      31       D1:10.000, R21:-0.250, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      35       D1:10.000, R21:1.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      65       D1:17.783, R21:-0.500, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      102      D1:31.623, R21:0.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      104      D1:31.623, R21:0.500, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      136      D1:56.234, R21:-0.250, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      139      D1:56.234, R21:0.500, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      140      D1:56.234, R21:1.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      170      D1:100.000, R21:-0.500, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      33       D1:10.000, R21:0.250, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      64       D1:17.783, R21:-1.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      66       D1:17.783, R21:-0.250, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      67       D1:17.783, R21:0.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      68       D1:17.783, R21:0.250, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      70       D1:17.783, R21:1.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      100      D1:31.623, R21:-0.500, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      135      D1:56.234, R21:-0.500, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      169      D1:100.000, R21:-1.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      174      D1:100.000, R21:0.500, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 3      134      D1:56.234, R21:-1.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      2        D1:10.000, R21:-0.500, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      141      D1:100.000, R21:-1.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      1        D1:10.000, R21:-1.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      77       D1:31.623, R21:1.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      4        D1:10.000, R21:0.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      5        D1:10.000, R21:0.250, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      37       D1:17.783, R21:-0.500, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      39       D1:17.783, R21:0.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      40       D1:17.783, R21:0.250, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      71       D1:31.623, R21:-1.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      73       D1:31.623, R21:-0.250, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      106      D1:56.234, R21:-1.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      107      D1:56.234, R21:-0.500, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      108      D1:56.234, R21:-0.250, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      145      D1:100.000, R21:0.250, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      146      D1:100.000, R21:0.500, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      147      D1:100.000, R21:1.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      6        D1:10.000, R21:0.500, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      72       D1:31.623, R21:-0.500, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      75       D1:31.623, R21:0.250, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      144      D1:100.000, R21:0.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      7        D1:10.000, R21:1.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      36       D1:17.783, R21:-1.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      38       D1:17.783, R21:-0.250, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      41       D1:17.783, R21:0.500, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      42       D1:17.783, R21:1.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      74       D1:31.623, R21:0.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      76       D1:31.623, R21:0.500, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      110      D1:56.234, R21:0.250, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      112      D1:56.234, R21:1.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      142      D1:100.000, R21:-0.500, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      143      D1:100.000, R21:-0.250, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      3        D1:10.000, R21:-0.250, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      109      D1:56.234, R21:0.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      111      D1:56.234, R21:0.500, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      8        D1:10.000, R21:-1.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      45       D1:17.783, R21:-0.250, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      49       D1:17.783, R21:1.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      113      D1:56.234, R21:-1.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      13       D1:10.000, R21:0.500, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      78       D1:31.623, R21:-1.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      80       D1:31.623, R21:-0.250, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      82       D1:31.623, R21:0.250, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      84       D1:31.623, R21:1.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      114      D1:56.234, R21:-0.500, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      148      D1:100.000, R21:-1.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      9        D1:10.000, R21:-0.500, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      12       D1:10.000, R21:0.250, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      44       D1:17.783, R21:-0.500, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      79       D1:31.623, R21:-0.500, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      81       D1:31.623, R21:0.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      83       D1:31.623, R21:0.500, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      117      D1:56.234, R21:0.250, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      118      D1:56.234, R21:0.500, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      149      D1:100.000, R21:-0.500, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      150      D1:100.000, R21:-0.250, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      151      D1:100.000, R21:0.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      153      D1:100.000, R21:0.500, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      154      D1:100.000, R21:1.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      10       D1:10.000, R21:-0.250, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      11       D1:10.000, R21:0.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      14       D1:10.000, R21:1.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      43       D1:17.783, R21:-1.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      46       D1:17.783, R21:0.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      47       D1:17.783, R21:0.250, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      48       D1:17.783, R21:0.500, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      115      D1:56.234, R21:-0.250, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      116      D1:56.234, R21:0.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      119      D1:56.234, R21:1.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 3      152      D1:100.000, R21:0.250, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
