--- Relaxation Summary for Iteration 2 (Traditional) ---
Analysis Date: 2025-07-06 17:41:33

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Iter   Sample   Params                                            
------------ --------------- ------------------ ------------------------- ------ -------- --------------------------------------------------
2            Fm-3m           cubic              -4.820459                 2      87       D1:31.623, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      157      D1:100.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      159      D1:100.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      160      D1:100.000, R21:0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      54       D1:17.783, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      86       D1:31.623, R21:-0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      155      D1:100.000, R21:-1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      20       D1:10.000, R21:0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      57       D1:17.783, R21:-1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      62       D1:17.783, R21:0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      168      D1:100.000, R21:1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      22       D1:10.000, R21:-1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      61       D1:17.783, R21:0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      128      D1:56.234, R21:-0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      132      D1:56.234, R21:0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      162      D1:100.000, R21:-1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      167      D1:100.000, R21:0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      23       D1:10.000, R21:-0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      24       D1:10.000, R21:-0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      26       D1:10.000, R21:0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      58       D1:17.783, R21:-0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      59       D1:17.783, R21:-0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      60       D1:17.783, R21:0.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      94       D1:31.623, R21:-0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      95       D1:31.623, R21:0.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      96       D1:31.623, R21:0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      127      D1:56.234, R21:-1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      129      D1:56.234, R21:-0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      131      D1:56.234, R21:0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      133      D1:56.234, R21:1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      163      D1:100.000, R21:-0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      164      D1:100.000, R21:-0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      165      D1:100.000, R21:0.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      166      D1:100.000, R21:0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      27       D1:10.000, R21:0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      28       D1:10.000, R21:1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      63       D1:17.783, R21:1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      92       D1:31.623, R21:-1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      93       D1:31.623, R21:-0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      97       D1:31.623, R21:0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      98       D1:31.623, R21:1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      25       D1:10.000, R21:0.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      130      D1:56.234, R21:0.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      66       D1:17.783, R21:-0.250, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      67       D1:17.783, R21:0.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      136      D1:56.234, R21:-0.250, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      30       D1:10.000, R21:-0.500, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      31       D1:10.000, R21:-0.250, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      33       D1:10.000, R21:0.250, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      68       D1:17.783, R21:0.250, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      99       D1:31.623, R21:-1.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      100      D1:31.623, R21:-0.500, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      135      D1:56.234, R21:-0.500, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      137      D1:56.234, R21:0.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      172      D1:100.000, R21:0.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      174      D1:100.000, R21:0.500, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      29       D1:10.000, R21:-1.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      35       D1:10.000, R21:1.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      64       D1:17.783, R21:-1.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      70       D1:17.783, R21:1.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      103      D1:31.623, R21:0.250, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      104      D1:31.623, R21:0.500, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      170      D1:100.000, R21:-0.500, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      65       D1:17.783, R21:-0.500, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      69       D1:17.783, R21:0.500, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      102      D1:31.623, R21:0.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      105      D1:31.623, R21:1.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      134      D1:56.234, R21:-1.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      138      D1:56.234, R21:0.250, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      139      D1:56.234, R21:0.500, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      171      D1:100.000, R21:-0.250, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      173      D1:100.000, R21:0.250, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      32       D1:10.000, R21:0.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      34       D1:10.000, R21:0.500, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      140      D1:56.234, R21:1.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      175      D1:100.000, R21:1.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      101      D1:31.623, R21:-0.250, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820459                 2      169      D1:100.000, R21:-1.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      74       D1:31.623, R21:0.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      143      D1:100.000, R21:-0.250, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      6        D1:10.000, R21:0.500, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      7        D1:10.000, R21:1.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      36       D1:17.783, R21:-1.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      42       D1:17.783, R21:1.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      71       D1:31.623, R21:-1.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      73       D1:31.623, R21:-0.250, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      77       D1:31.623, R21:1.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      107      D1:56.234, R21:-0.500, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      108      D1:56.234, R21:-0.250, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      109      D1:56.234, R21:0.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      110      D1:56.234, R21:0.250, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      141      D1:100.000, R21:-1.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      145      D1:100.000, R21:0.250, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      147      D1:100.000, R21:1.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      3        D1:10.000, R21:-0.250, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      4        D1:10.000, R21:0.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      72       D1:31.623, R21:-0.500, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      1        D1:10.000, R21:-1.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      2        D1:10.000, R21:-0.500, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      5        D1:10.000, R21:0.250, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      37       D1:17.783, R21:-0.500, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      39       D1:17.783, R21:0.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      40       D1:17.783, R21:0.250, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      41       D1:17.783, R21:0.500, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      75       D1:31.623, R21:0.250, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      76       D1:31.623, R21:0.500, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      106      D1:56.234, R21:-1.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      111      D1:56.234, R21:0.500, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      112      D1:56.234, R21:1.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      38       D1:17.783, R21:-0.250, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      142      D1:100.000, R21:-0.500, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      144      D1:100.000, R21:0.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      146      D1:100.000, R21:0.500, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      11       D1:10.000, R21:0.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      46       D1:17.783, R21:0.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      152      D1:100.000, R21:0.250, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      43       D1:17.783, R21:-1.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      44       D1:17.783, R21:-0.500, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      47       D1:17.783, R21:0.250, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      48       D1:17.783, R21:0.500, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      49       D1:17.783, R21:1.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      79       D1:31.623, R21:-0.500, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      81       D1:31.623, R21:0.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      114      D1:56.234, R21:-0.500, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      115      D1:56.234, R21:-0.250, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      116      D1:56.234, R21:0.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      153      D1:100.000, R21:0.500, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      154      D1:100.000, R21:1.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      8        D1:10.000, R21:-1.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      10       D1:10.000, R21:-0.250, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      12       D1:10.000, R21:0.250, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      45       D1:17.783, R21:-0.250, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      78       D1:31.623, R21:-1.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      83       D1:31.623, R21:0.500, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      117      D1:56.234, R21:0.250, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      149      D1:100.000, R21:-0.500, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      151      D1:100.000, R21:0.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      9        D1:10.000, R21:-0.500, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      13       D1:10.000, R21:0.500, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      14       D1:10.000, R21:1.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      80       D1:31.623, R21:-0.250, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      82       D1:31.623, R21:0.250, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      84       D1:31.623, R21:1.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      118      D1:56.234, R21:0.500, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      119      D1:56.234, R21:1.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      148      D1:100.000, R21:-1.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      150      D1:100.000, R21:-0.250, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
2            Fm-3m           cubic              -4.820458                 2      113      D1:56.234, R21:-1.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
