--- Relaxation Summary for Main Iteration 4, GA Generation 1 ---
Analysis Date: 2025-08-31 16:08:18

--- GA Mutation Tracking Summary ---
Total Individuals: 50
Mode Replacements: 10
Replacement Rate: 20.00%
Selected Modes for Replacement:
  1. L (freq: 16.9787, band: 11)
  2. L (freq: 3.3471, band: 0)
  3. K (freq: 14.4276, band: 11)
  4. H (freq: 15.2871, band: 11)
  5. L (freq: 16.9787, band: 11)
  ... and 5 more

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Main Iter  GA Gen   Sample   GA Params                                                        
------------ --------------- ------------------ ------------------------- ---------- -------- -------- -----------------------------------------------------------------
8            P6_3mc          hexagonal          -4.826398                 4          1        17       D1:1.000, R21:0.000, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
4            P6_3/mmc        hexagonal          -4.821211                 4          1        89       D1:0.017, R21:0.274, Cell:(0.170, 0.216, -0.498, 41.451, -4.648, -4.193), SC:1x1x1, PhFactor:True
8            Fm-3m           cubic              -4.820459                 4          1        87       D1:3.302, R21:-0.948, Cell:(-0.252, 0.335, -0.070, 35.773, -42.872, 13.456), SC:2x1x1, PhFactor:False
16           Fm-3m           cubic              -4.820459                 4          1        31       D1:6.924, R21:0.132, Cell:(0.343, 0.025, 0.151, 38.189, -0.608, 5.569), SC:2x1x2, PhFactor:False
32           Fm-3m           cubic              -4.820459                 4          1        82       D1:6.683, R21:-0.955, Cell:(0.206, 0.413, -0.454, -27.351, 27.180, 28.153), SC:2x2x2, PhFactor:True
8            Fm-3m           cubic              -4.820459                 4          1        54       D1:7.542, R21:0.882, Cell:(-0.230, 0.003, 0.315, 44.027, -18.297, 13.763), SC:2x1x1, PhFactor:False
4            Fm-3m           cubic              -4.820459                 4          1        91       D1:5.718, R21:-0.042, Cell:(-0.330, -0.081, 0.205, -25.052, 29.828, 9.073), SC:1x1x1, PhFactor:False
8            Fm-3m           cubic              -4.820459                 4          1        62       D1:9.573, R21:0.668, Cell:(0.318, 0.030, -0.112, 21.881, -34.414, -16.330), SC:1x1x2, PhFactor:True
16           Fm-3m           cubic              -4.820459                 4          1        76       D1:3.496, R21:-0.129, Cell:(0.146, -0.273, 0.069, 25.110, 0.163, -12.746), SC:2x1x2, PhFactor:True
16           Fm-3m           cubic              -4.820459                 4          1        42       D1:9.417, R21:0.022, Cell:(-0.140, -0.142, -0.145, 36.451, -6.946, -14.777), SC:2x2x1, PhFactor:False
8            Fm-3m           cubic              -4.820459                 4          1        58       D1:0.089, R21:-0.908, Cell:(0.459, 0.419, 0.342, -4.782, 16.992, 29.410), SC:1x1x2, PhFactor:False
16           Fm-3m           cubic              -4.820459                 4          1        44       D1:4.998, R21:-1.199, Cell:(-0.386, -0.387, 0.431, -20.733, 17.673, -5.901), SC:2x2x1, PhFactor:False
4            Fm-3m           cubic              -4.820458                 4          1        33       D1:8.568, R21:-0.980, Cell:(0.153, 0.157, 0.343, 38.094, 10.644, 2.353), SC:1x1x1, PhFactor:False
4            Fm-3m           cubic              -4.820458                 4          1        81       D1:9.321, R21:0.959, Cell:(0.439, 0.403, -0.125, 5.930, -16.730, 30.863), SC:1x1x1, PhFactor:False
4            Fm-3m           cubic              -4.820458                 4          1        79       D1:3.591, R21:-0.250, Cell:(0.030, 0.058, 0.299, 24.021, -20.826, -11.905), SC:1x1x1, PhFactor:False
32           Fm-3m           cubic              -4.820458                 4          1        55       D1:8.557, R21:-0.950, Cell:(-0.411, 0.429, 0.278, -2.044, -11.772, 25.779), SC:2x2x2, PhFactor:False
16           Fm-3m           cubic              -4.820458                 4          1        38       D1:9.644, R21:-0.394, Cell:(0.016, -0.039, -0.178, 21.779, -23.288, 12.795), SC:2x1x2, PhFactor:False
4            Fm-3m           cubic              -4.820458                 4          1        64       D1:3.815, R21:1.099, Cell:(0.331, -0.270, -0.327, -13.192, 8.987, -14.550), SC:1x1x1, PhFactor:True
16           Fm-3m           cubic              -4.820458                 4          1        80       D1:0.163, R21:-1.124, Cell:(-0.446, 0.482, -0.493, -2.908, 2.091, 8.019), SC:2x1x2, PhFactor:False
8            P4_2/mnm        tetragonal         -4.819696                 4          1        88       D1:2.877, R21:-1.105, Cell:(-0.123, 0.293, -0.351, -30.560, -0.623, -15.636), SC:1x1x2, PhFactor:True
8            F-43m           cubic              -4.815802                 4          1        47       D1:7.198, R21:0.146, Cell:(-0.411, 0.445, -0.406, -12.316, 15.707, 6.016), SC:2x1x1, PhFactor:False
4            F-43m           cubic              -4.815802                 4          1        52       D1:7.405, R21:-0.095, Cell:(0.039, -0.107, 0.377, 16.152, 20.358, -34.067), SC:1x1x1, PhFactor:False
16           F-43m           cubic              -4.815802                 4          1        49       D1:3.460, R21:-0.041, Cell:(0.486, -0.135, 0.276, -24.009, -1.740, -30.382), SC:2x2x1, PhFactor:True
4            F-43m           cubic              -4.815802                 4          1        43       D1:0.994, R21:-0.626, Cell:(-0.072, -0.484, 0.319, 0.942, 7.926, -44.110), SC:1x1x1, PhFactor:True
4            F-43m           cubic              -4.815802                 4          1        93       D1:2.483, R21:-0.198, Cell:(0.199, -0.495, 0.357, -36.889, -7.191, -9.821), SC:1x1x1, PhFactor:True
16           F-43m           cubic              -4.815802                 4          1        73       D1:0.239, R21:0.051, Cell:(-0.059, 0.165, 0.039, -0.976, 18.155, 28.724), SC:2x1x2, PhFactor:False
32           F-43m           cubic              -4.815802                 4          1        72       D1:0.655, R21:0.520, Cell:(-0.020, -0.467, 0.113, 13.129, 2.683, 11.799), SC:2x2x2, PhFactor:False
16           F-43m           cubic              -4.815802                 4          1        53       D1:6.729, R21:0.851, Cell:(0.096, 0.266, 0.228, 39.311, -39.462, 23.503), SC:2x2x1, PhFactor:False
16           F-43m           cubic              -4.815802                 4          1        85       D1:0.756, R21:0.614, Cell:(0.248, 0.380, 0.221, 36.611, -40.607, -10.957), SC:2x2x1, PhFactor:False
16           F-43m           cubic              -4.815802                 4          1        48       D1:5.081, R21:-0.716, Cell:(0.037, 0.164, 0.211, 19.583, -6.609, 24.172), SC:2x2x1, PhFactor:False
4            F-43m           cubic              -4.815802                 4          1        99       D1:3.712, R21:-1.184, Cell:(-0.011, 0.062, 0.218, -37.178, 8.761, -38.641), SC:1x1x1, PhFactor:False
16           F-43m           cubic              -4.815802                 4          1        83       D1:4.972, R21:0.058, Cell:(0.044, -0.288, 0.382, -5.201, -21.085, -39.090), SC:2x1x2, PhFactor:False
4            F-43m           cubic              -4.815801                 4          1        60       D1:2.873, R21:-0.726, Cell:(0.202, 0.425, 0.328, -4.437, 10.552, -44.933), SC:1x1x1, PhFactor:True
8            F-43m           cubic              -4.815801                 4          1        78       D1:9.318, R21:-1.049, Cell:(-0.013, 0.189, -0.290, -34.257, 1.496, -26.481), SC:1x1x2, PhFactor:False
8            Cm              monoclinic         -4.801639                 4          1        23       D1:4.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            Pnma            orthorhombic       -4.800086                 4          1        59       D1:6.871, R21:0.781, Cell:(-0.301, 0.099, 0.410, -13.943, 10.383, -17.758), SC:2x1x1, PhFactor:True
8            R-3m            trigonal           -4.799054                 4          1        19       D1:4.000, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
32           P1              triclinic          -4.796680                 4          1        86       D1:3.742, R21:1.008, Cell:(0.062, 0.062, -0.010, -23.816, -41.633, -44.649), SC:2x2x2, PhFactor:True
8            I4/mcm          tetragonal         -4.793164                 4          1        32       D1:8.887, R21:0.820, Cell:(-0.101, 0.201, 0.251, -14.868, 28.445, -13.653), SC:2x1x1, PhFactor:True
8            P-1             orthorhombic       -4.693284                 4          1        100      D1:8.130, R21:0.013, Cell:(0.347, -0.133, 0.042, -34.567, -25.610, -25.877), SC:2x1x1, PhFactor:False
8            P1              triclinic          -4.406330                 4          1        50       D1:9.754, R21:-0.224, Cell:(-0.037, -0.128, 0.255, 37.956, -36.916, -3.290), SC:1x1x2, PhFactor:True
