--- Relaxation Summary for Main Iteration 1, GA Generation 2 ---
Analysis Date: 2025-08-26 16:29:08

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Main Iter  GA Gen   Sample   GA Params                                                        
------------ --------------- ------------------ ------------------------- ---------- -------- -------- -----------------------------------------------------------------
24           P2_1/c          monoclinic         -10.165868                1          2        15       D1:4.000, R21:0.000, Cell:(-0.070, -0.070, 0.298, 9.912, -4.262, -19.470), SC:1x1x2, PhFactor:True
24           P4_2/nmc        tetragonal         -10.129632                1          2        29       D1:6.368, R21:-0.436, Cell:(-0.254, 0.252, 0.479, -28.208, 7.257, 17.599), SC:1x1x2, PhFactor:False
12           P4_2/nmc        tetragonal         -10.129632                1          2        31       D1:7.059, R21:1.500, Cell:(0.425, 0.444, 0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
12           P4_2/nmc        tetragonal         -10.129632                1          2        23       D1:8.353, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, -9.861), SC:1x1x1, PhFactor:False
48           P4_2/nmc        tetragonal         -10.129632                1          2        30       D1:4.000, R21:-0.250, Cell:(0.070, 0.070, 0.428, -28.208, 7.257, 17.599), SC:2x2x1, PhFactor:True
12           P4_2/nmc        tetragonal         -10.129632                1          2        50       D1:6.368, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:1x1x1, PhFactor:True
12           P4_2/nmc        tetragonal         -10.129632                1          2        41       D1:0.258, R21:-1.095, Cell:(0.158, 0.171, 0.218, 9.912, -4.262, -13.354), SC:1x1x1, PhFactor:True
48           P4_2/nmc        tetragonal         -10.129632                1          2        9        D1:0.127, R21:-0.253, Cell:(0.466, -0.076, -0.186, 9.912, -4.995, -19.470), SC:2x2x1, PhFactor:True
48           P-1             triclinic          -10.062909                1          2        42       D1:3.443, R21:-0.436, Cell:(0.322, 0.136, 0.100, 2.248, -22.950, -9.861), SC:2x1x2, PhFactor:True
48           P-1             triclinic          -10.062909                1          2        39       D1:1.000, R21:0.653, Cell:(0.322, -0.076, -0.186, 9.912, -4.262, -19.470), SC:2x2x1, PhFactor:True
24           C2/m            monoclinic         -10.024821                1          2        8        D1:6.368, R21:-0.751, Cell:(0.322, -0.292, 0.340, -12.953, -16.519, -14.960), SC:1x1x2, PhFactor:False
48           C2/m            monoclinic         -10.006342                1          2        10       D1:5.036, R21:1.500, Cell:(0.425, 0.334, 0.388, 9.912, -4.262, -19.470), SC:2x1x2, PhFactor:True
48           P1              triclinic          -9.996704                 1          2        24       D1:5.036, R21:1.500, Cell:(0.425, -0.142, 0.106, -28.208, 7.257, -22.559), SC:2x2x1, PhFactor:True
48           R-3m            trigonal           -9.944292                 1          2        34       D1:0.127, R21:-0.253, Cell:(0.466, -0.292, 0.340, -12.953, 7.257, 17.599), SC:2x2x1, PhFactor:False
48           C2/c            monoclinic         -9.938918                 1          2        19       D1:3.833, R21:1.500, Cell:(0.425, 0.252, 0.106, -28.208, 7.257, 31.318), SC:2x2x1, PhFactor:True
