--- Relaxation Summary for Iteration 1 (Traditional) ---
Analysis Date: 2025-07-06 17:40:40

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Iter   Sample   Params                                            
------------ --------------- ------------------ ------------------------- ------ -------- --------------------------------------------------
8            Fm-3m           cubic              -4.820459                 1      39       D1:17.783, R21:0.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      113      D1:56.234, R21:-1.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      96       D1:31.623, R21:0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      151      D1:100.000, R21:0.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      52       D1:17.783, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      46       D1:17.783, R21:0.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      41       D1:17.783, R21:0.500, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      59       D1:17.783, R21:-0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      112      D1:56.234, R21:1.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      70       D1:17.783, R21:1.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      123      D1:56.234, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      49       D1:17.783, R21:1.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      138      D1:56.234, R21:0.250, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      117      D1:56.234, R21:0.250, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      34       D1:10.000, R21:0.500, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      132      D1:56.234, R21:0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      169      D1:100.000, R21:-1.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      71       D1:31.623, R21:-1.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      22       D1:10.000, R21:-1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      97       D1:31.623, R21:0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      21       D1:10.000, R21:1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      158      D1:100.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      65       D1:17.783, R21:-0.500, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      143      D1:100.000, R21:-0.250, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      149      D1:100.000, R21:-0.500, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      38       D1:17.783, R21:-0.250, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      152      D1:100.000, R21:0.250, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      55       D1:17.783, R21:0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      165      D1:100.000, R21:0.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      172      D1:100.000, R21:0.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      72       D1:31.623, R21:-0.500, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      2        D1:10.000, R21:-0.500, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      155      D1:100.000, R21:-1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      30       D1:10.000, R21:-0.500, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      74       D1:31.623, R21:0.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      64       D1:17.783, R21:-1.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      154      D1:100.000, R21:1.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      159      D1:100.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      7        D1:10.000, R21:1.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      81       D1:31.623, R21:0.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      44       D1:17.783, R21:-0.500, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      162      D1:100.000, R21:-1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      91       D1:31.623, R21:1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      156      D1:100.000, R21:-0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      13       D1:10.000, R21:0.500, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      60       D1:17.783, R21:0.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      62       D1:17.783, R21:0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      36       D1:17.783, R21:-1.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      99       D1:31.623, R21:-1.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      47       D1:17.783, R21:0.250, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      125      D1:56.234, R21:0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      93       D1:31.623, R21:-0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      119      D1:56.234, R21:1.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      174      D1:100.000, R21:0.500, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      101      D1:31.623, R21:-0.250, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      171      D1:100.000, R21:-0.250, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      109      D1:56.234, R21:0.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      94       D1:31.623, R21:-0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      45       D1:17.783, R21:-0.250, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      29       D1:10.000, R21:-1.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      56       D1:17.783, R21:1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      110      D1:56.234, R21:0.250, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      87       D1:31.623, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      48       D1:17.783, R21:0.500, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      27       D1:10.000, R21:0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      164      D1:100.000, R21:-0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      111      D1:56.234, R21:0.500, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      103      D1:31.623, R21:0.250, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      9        D1:10.000, R21:-0.500, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      139      D1:56.234, R21:0.500, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      28       D1:10.000, R21:1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      95       D1:31.623, R21:0.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      106      D1:56.234, R21:-1.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      11       D1:10.000, R21:0.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      98       D1:31.623, R21:1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      100      D1:31.623, R21:-0.500, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      77       D1:31.623, R21:1.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      14       D1:10.000, R21:1.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      166      D1:100.000, R21:0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      90       D1:31.623, R21:0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      147      D1:100.000, R21:1.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      37       D1:17.783, R21:-0.500, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      133      D1:56.234, R21:1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      12       D1:10.000, R21:0.250, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      51       D1:17.783, R21:-0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      128      D1:56.234, R21:-0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      126      D1:56.234, R21:1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      73       D1:31.623, R21:-0.250, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      20       D1:10.000, R21:0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      67       D1:17.783, R21:0.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      61       D1:17.783, R21:0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      35       D1:10.000, R21:1.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      170      D1:100.000, R21:-0.500, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      4        D1:10.000, R21:0.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      43       D1:17.783, R21:-1.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      80       D1:31.623, R21:-0.250, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      42       D1:17.783, R21:1.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      10       D1:10.000, R21:-0.250, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      168      D1:100.000, R21:1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      23       D1:10.000, R21:-0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      17       D1:10.000, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      78       D1:31.623, R21:-1.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      88       D1:31.623, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      115      D1:56.234, R21:-0.250, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      6        D1:10.000, R21:0.500, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      32       D1:10.000, R21:0.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      8        D1:10.000, R21:-1.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      173      D1:100.000, R21:0.250, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      86       D1:31.623, R21:-0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      141      D1:100.000, R21:-1.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      1        D1:10.000, R21:-1.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      140      D1:56.234, R21:1.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      85       D1:31.623, R21:-1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      107      D1:56.234, R21:-0.500, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      150      D1:100.000, R21:-0.250, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      175      D1:100.000, R21:1.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      16       D1:10.000, R21:-0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      142      D1:100.000, R21:-0.500, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      75       D1:31.623, R21:0.250, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      114      D1:56.234, R21:-0.500, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      92       D1:31.623, R21:-1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      57       D1:17.783, R21:-1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      69       D1:17.783, R21:0.500, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      53       D1:17.783, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      24       D1:10.000, R21:-0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      120      D1:56.234, R21:-1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      163      D1:100.000, R21:-0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      104      D1:31.623, R21:0.500, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      137      D1:56.234, R21:0.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      136      D1:56.234, R21:-0.250, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      146      D1:100.000, R21:0.500, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      25       D1:10.000, R21:0.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      79       D1:31.623, R21:-0.500, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820459                 1      118      D1:56.234, R21:0.500, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820458                 1      5        D1:10.000, R21:0.250, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820458                 1      161      D1:100.000, R21:1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820458                 1      50       D1:17.783, R21:-1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820458                 1      148      D1:100.000, R21:-1.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820458                 1      19       D1:10.000, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820458                 1      82       D1:31.623, R21:0.250, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820458                 1      122      D1:56.234, R21:-0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820458                 1      167      D1:100.000, R21:0.500, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820458                 1      116      D1:56.234, R21:0.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820458                 1      89       D1:31.623, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820458                 1      66       D1:17.783, R21:-0.250, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820458                 1      124      D1:56.234, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820458                 1      134      D1:56.234, R21:-1.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820458                 1      54       D1:17.783, R21:0.250, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820458                 1      83       D1:31.623, R21:0.500, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820458                 1      105      D1:31.623, R21:1.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820458                 1      68       D1:17.783, R21:0.250, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820458                 1      63       D1:17.783, R21:1.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820458                 1      108      D1:56.234, R21:-0.250, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820458                 1      102      D1:31.623, R21:0.000, Cell:(0.100, 0.100, 0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820458                 1      160      D1:100.000, R21:0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820458                 1      84       D1:31.623, R21:1.000, Cell:(-0.050, -0.050, -0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820458                 1      130      D1:56.234, R21:0.000, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820458                 1      3        D1:10.000, R21:-0.250, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820458                 1      15       D1:10.000, R21:-1.000, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820458                 1      144      D1:100.000, R21:0.000, Cell:(-0.100, -0.100, -0.100, 0.000, 0.000, 0.000) 
8            Fm-3m           cubic              -4.820458                 1      26       D1:10.000, R21:0.250, Cell:(0.050, 0.050, 0.050, 0.000, 0.000, 0.000) 
8            P4/nmm          tetragonal         -4.716941                 1      121      D1:56.234, R21:-0.500, Cell:(0.000, 0.000, 0.000, 0.000, 0.000, 0.000) 
